edge_3683l	barrnap:0.9	rRNA	163	1646	0	-	.	ID=AAHFOCED_00001;locus_tag=AAHFOCED_00001;product=16S ribosomal RNA
edge_3683l	Prodigal:002006	CDS	21096	21983	.	-	0	ID=AAHFOCED_00021;eC_number=2.5.1.75;Name=miaA;db_xref=COG:COG0324;gene=miaA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q9KAC3;locus_tag=AAHFOCED_00021;product=tRNA dimethylallyltransferase
edge_3683l	Prodigal:002006	CDS	21941	22240	.	-	0	ID=AAHFOCED_00022;Name=atl;db_xref=COG:COG3695;gene=atl;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P0AFP2;locus_tag=AAHFOCED_00022;product=DNA base-flipping protein
edge_3683l	Prodigal:002006	CDS	22323	24119	.	-	0	ID=AAHFOCED_00023;eC_number=6.1.1.3;Name=thrS;gene=thrS;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P67585;locus_tag=AAHFOCED_00023;product=Threonine--tRNA ligase
edge_3683l	Aragorn:001002	tRNA	24380	24456	.	+	.	ID=AAHFOCED_00024;inference=COORDINATES:profile:Aragorn:001002;locus_tag=AAHFOCED_00024;product=tRNA-Val(gac)
edge_3683l	Prodigal:002006	CDS	24765	26417	.	-	0	ID=AAHFOCED_00025;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00025;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	26420	26797	.	-	0	ID=AAHFOCED_00026;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00026;product=hypothetical protein
edge_3683l	Aragorn:001002	tRNA	26807	26881	.	-	.	ID=AAHFOCED_00027;inference=COORDINATES:profile:Aragorn:001002;locus_tag=AAHFOCED_00027;product=tRNA-Gly(ccc)
edge_3683l	Aragorn:001002	tRNA	26891	26966	.	-	.	ID=AAHFOCED_00028;inference=COORDINATES:profile:Aragorn:001002;locus_tag=AAHFOCED_00028;product=tRNA-Thr(cgt)
edge_3683l	Aragorn:001002	tRNA	27082	27159	.	+	.	ID=AAHFOCED_00029;inference=COORDINATES:profile:Aragorn:001002;locus_tag=AAHFOCED_00029;product=tRNA-Asp(gtc)
edge_3683l	Prodigal:002006	CDS	27284	29158	.	+	0	ID=AAHFOCED_00030;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00030;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	29158	30783	.	+	0	ID=AAHFOCED_00031;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00031;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	30725	31318	.	-	0	ID=AAHFOCED_00032;eC_number=1.15.1.1;Name=sodA;gene=sodA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P00449;locus_tag=AAHFOCED_00032;product=Superoxide dismutase [Mn]
edge_3683l	Prodigal:002006	CDS	31341	32399	.	-	0	ID=AAHFOCED_00033;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00033;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	32377	32901	.	-	0	ID=AAHFOCED_00034;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00034;product=hypothetical protein
edge_3683l	Aragorn:001002	tRNA	32958	33034	.	-	.	ID=AAHFOCED_00035;inference=COORDINATES:profile:Aragorn:001002;locus_tag=AAHFOCED_00035;product=tRNA-Arg(cct)
edge_3683l	Prodigal:002006	CDS	33065	33574	.	-	0	ID=AAHFOCED_00036;eC_number=2.7.4.6;Name=ndk;db_xref=COG:COG0105;gene=ndk;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O51419;locus_tag=AAHFOCED_00036;product=Nucleoside diphosphate kinase
edge_3683l	Prodigal:002006	CDS	33584	34390	.	-	0	ID=AAHFOCED_00037;eC_number=3.6.1.27;Name=uppP;gene=uppP;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q5WNX2;locus_tag=AAHFOCED_00037;product=Undecaprenyl-diphosphatase
edge_3683l	Prodigal:002006	CDS	34436	35359	.	+	0	ID=AAHFOCED_00038;Name=xerC_1;db_xref=COG:COG4973;gene=xerC_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P0A8P6;locus_tag=AAHFOCED_00038;product=Tyrosine recombinase XerC
edge_3683l	Prodigal:002006	CDS	35356	36543	.	-	0	ID=AAHFOCED_00039;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00039;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	36543	37283	.	-	0	ID=AAHFOCED_00040;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00040;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	37261	37911	.	-	0	ID=AAHFOCED_00041;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00041;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	37898	38671	.	-	0	ID=AAHFOCED_00042;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00042;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	38699	39583	.	-	0	ID=AAHFOCED_00043;Name=comC;gene=comC;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P15378;locus_tag=AAHFOCED_00043;product=Type 4 prepilin-like proteins leader peptide-processing enzyme
edge_3683l	Prodigal:002006	CDS	39611	40105	.	-	0	ID=AAHFOCED_00044;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00044;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	40186	41397	.	-	0	ID=AAHFOCED_00045;Name=epsF_1;db_xref=COG:COG1459;gene=epsF_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P45780;locus_tag=AAHFOCED_00045;product=Type II secretion system protein F
edge_3683l	Prodigal:002006	CDS	41407	42477	.	-	0	ID=AAHFOCED_00046;Name=pilT;db_xref=COG:COG2805;gene=pilT;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P24559;locus_tag=AAHFOCED_00046;product=Twitching mobility protein
edge_3683l	Prodigal:002006	CDS	42493	44256	.	-	0	ID=AAHFOCED_00047;Name=xpsE_1;db_xref=COG:COG2804;gene=xpsE_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P31742;locus_tag=AAHFOCED_00047;product=Type II secretion system protein E
edge_3683l	Prodigal:002006	CDS	44268	44495	.	-	0	ID=AAHFOCED_00048;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00048;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	44492	45160	.	-	0	ID=AAHFOCED_00049;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00049;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	45153	45884	.	-	0	ID=AAHFOCED_00050;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00050;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	45881	46927	.	-	0	ID=AAHFOCED_00051;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00051;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	46979	49165	.	-	0	ID=AAHFOCED_00052;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00052;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	49162	49752	.	-	0	ID=AAHFOCED_00053;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00053;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	49896	50639	.	-	0	ID=AAHFOCED_00054;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00054;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	50636	51133	.	-	0	ID=AAHFOCED_00055;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00055;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	51211	52290	.	+	0	ID=AAHFOCED_00056;Name=ychF;db_xref=COG:COG0012;gene=ychF;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P44681;locus_tag=AAHFOCED_00056;product=Ribosome-binding ATPase YchF
edge_3683l	Prodigal:002006	CDS	52287	53174	.	-	0	ID=AAHFOCED_00057;eC_number=2.6.1.42;Name=ilvE;db_xref=COG:COG0115;gene=ilvE;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O86428;locus_tag=AAHFOCED_00057;product=Branched-chain-amino-acid aminotransferase
edge_3683l	Prodigal:002006	CDS	53205	54965	.	-	0	ID=AAHFOCED_00058;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00058;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	55152	55868	.	-	0	ID=AAHFOCED_00059;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00059;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	55855	57921	.	-	0	ID=AAHFOCED_00060;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00060;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	58149	59423	.	-	0	ID=AAHFOCED_00061;Name=efp;gene=efp;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00141;locus_tag=AAHFOCED_00061;product=Elongation factor P
edge_3683l	Prodigal:002006	CDS	60007	60312	.	-	0	ID=AAHFOCED_00062;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00062;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	60435	60884	.	-	0	ID=AAHFOCED_00063;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00984;locus_tag=AAHFOCED_00063;product=Single-stranded DNA-binding protein
edge_3683l	Prodigal:002006	CDS	60890	61252	.	-	0	ID=AAHFOCED_00064;Name=rpsF;db_xref=COG:COG0360;gene=rpsF;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P02358;locus_tag=AAHFOCED_00064;product=30S ribosomal protein S6
edge_3683l	Prodigal:002006	CDS	61365	63584	.	-	0	ID=AAHFOCED_00065;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00065;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	63835	64353	.	+	0	ID=AAHFOCED_00066;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00066;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	64334	64825	.	+	0	ID=AAHFOCED_00067;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00067;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	64822	66972	.	-	0	ID=AAHFOCED_00068;eC_number=3.1.-.-;Name=rnj1;gene=rnj1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q6GHZ6;locus_tag=AAHFOCED_00068;product=Ribonuclease J 1
edge_3683l	Prodigal:002006	CDS	67141	67932	.	-	0	ID=AAHFOCED_00069;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00069;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	67970	68512	.	-	0	ID=AAHFOCED_00070;eC_number=3.2.2.27;Name=tmung;db_xref=COG:COG1573;gene=tmung;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q9WYY1;locus_tag=AAHFOCED_00070;product=Type-4 uracil-DNA glycosylase
edge_3683l	Prodigal:002006	CDS	68595	70226	.	+	0	ID=AAHFOCED_00071;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00071;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	70323	71456	.	+	0	ID=AAHFOCED_00072;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00072;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	71453	72508	.	-	0	ID=AAHFOCED_00073;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00073;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	72572	73030	.	-	0	ID=AAHFOCED_00074;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00074;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	73088	73654	.	-	0	ID=AAHFOCED_00075;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00075;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	73635	75758	.	-	0	ID=AAHFOCED_00076;eC_number=2.7.7.8;Name=pnp;db_xref=COG:COG1185;gene=pnp;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q8CST1;locus_tag=AAHFOCED_00076;product=Polyribonucleotide nucleotidyltransferase
edge_3683l	Prodigal:002006	CDS	75954	77171	.	+	0	ID=AAHFOCED_00077;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00077;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	77177	78655	.	-	0	ID=AAHFOCED_00078;eC_number=4.2.3.1;Name=thrC;db_xref=COG:COG0498;gene=thrC;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P23669;locus_tag=AAHFOCED_00078;product=Threonine synthase
edge_3683l	Prodigal:002006	CDS	78713	79378	.	+	0	ID=AAHFOCED_00079;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00079;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	79375	80247	.	-	0	ID=AAHFOCED_00080;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00080;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	80274	81068	.	-	0	ID=AAHFOCED_00081;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00081;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	81065	81970	.	-	0	ID=AAHFOCED_00082;eC_number=7.6.2.-;db_xref=COG:COG1131;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O86311;locus_tag=AAHFOCED_00082;product=Multidrug efflux system ATP-binding protein
edge_3683l	Prodigal:002006	CDS	82004	83386	.	-	0	ID=AAHFOCED_00083;eC_number=2.4.1.109;Name=pmt;db_xref=COG:COG1928;gene=pmt;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WN05;locus_tag=AAHFOCED_00083;product=putative dolichyl-phosphate-mannose--protein mannosyltransferase
edge_3683l	Prodigal:002006	CDS	83451	83717	.	-	0	ID=AAHFOCED_00084;Name=rpsO;gene=rpsO;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P05766;locus_tag=AAHFOCED_00084;product=30S ribosomal protein S15
edge_3683l	Prodigal:002006	CDS	83758	84324	.	-	0	ID=AAHFOCED_00085;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00085;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	84361	85020	.	-	0	ID=AAHFOCED_00086;eC_number=5.4.99.25;Name=truB;db_xref=COG:COG0130;gene=truB;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WHP7;locus_tag=AAHFOCED_00086;product=tRNA pseudouridine synthase B
edge_3683l	Prodigal:002006	CDS	85023	85436	.	-	0	ID=AAHFOCED_00087;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00087;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	85489	86184	.	+	0	ID=AAHFOCED_00088;eC_number=3.5.1.103;Name=mshB;gene=mshB;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01696;locus_tag=AAHFOCED_00088;product=1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
edge_3683l	Prodigal:002006	CDS	86186	87901	.	-	0	ID=AAHFOCED_00089;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00089;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	88059	88436	.	+	0	ID=AAHFOCED_00090;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00090;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	88462	89370	.	-	0	ID=AAHFOCED_00091;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00091;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	89461	89793	.	-	0	ID=AAHFOCED_00092;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00092;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	89796	90665	.	-	0	ID=AAHFOCED_00093;eC_number=3.2.2.23;Name=mutM;db_xref=COG:COG0266;gene=mutM;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O50606;locus_tag=AAHFOCED_00093;product=Formamidopyrimidine-DNA glycosylase
edge_3683l	Prodigal:002006	CDS	90658	91230	.	-	0	ID=AAHFOCED_00094;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00094;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	91245	91850	.	-	0	ID=AAHFOCED_00095;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00095;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	91903	94152	.	-	0	ID=AAHFOCED_00096;eC_number=2.7.7.7;Name=polA;gene=polA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P80194;locus_tag=AAHFOCED_00096;product=DNA polymerase I%2C thermostable
edge_3683l	Prodigal:002006	CDS	94187	94438	.	-	0	ID=AAHFOCED_00097;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00097;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	94507	95217	.	+	0	ID=AAHFOCED_00098;eC_number=2.5.1.31;Name=uppS;gene=uppS;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O82827;locus_tag=AAHFOCED_00098;product=Ditrans%2Cpolycis-undecaprenyl-diphosphate synthase ((2E%2C6E)-farnesyl-diphosphate specific)
edge_3683l	Prodigal:002006	CDS	95218	96267	.	-	0	ID=AAHFOCED_00099;eC_number=2.5.1.90;Name=ispB;db_xref=COG:COG0142;gene=ispB;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P0AD57;locus_tag=AAHFOCED_00099;product=Octaprenyl diphosphate synthase
edge_3683l	Prodigal:002006	CDS	96317	96892	.	+	0	ID=AAHFOCED_00100;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00100;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	96936	97940	.	-	0	ID=AAHFOCED_00101;Name=sigA;db_xref=COG:COG0568;gene=sigA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P06224;locus_tag=AAHFOCED_00101;product=RNA polymerase sigma factor SigA
edge_3683l	Prodigal:002006	CDS	97941	99698	.	-	0	ID=AAHFOCED_00102;eC_number=2.7.7.-;Name=dnaG;db_xref=COG:COG0358;gene=dnaG;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P05096;locus_tag=AAHFOCED_00102;product=DNA primase
edge_3683l	Prodigal:002006	CDS	99803	100576	.	+	0	ID=AAHFOCED_00103;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00103;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	100573	100911	.	-	0	ID=AAHFOCED_00104;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00104;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	100908	101456	.	-	0	ID=AAHFOCED_00105;eC_number=3.1.-.-;Name=orn;db_xref=COG:COG1949;gene=orn;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q83C93;locus_tag=AAHFOCED_00105;product=Oligoribonuclease
edge_3683l	Prodigal:002006	CDS	101464	102573	.	-	0	ID=AAHFOCED_00106;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00106;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	102570	103142	.	-	0	ID=AAHFOCED_00107;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00107;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	103188	103583	.	-	0	ID=AAHFOCED_00108;eC_number=1.8.4.12;Name=msrB;gene=msrB;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q3JRF0;locus_tag=AAHFOCED_00108;product=Peptide methionine sulfoxide reductase MsrB
edge_3683l	Prodigal:002006	CDS	103604	104029	.	-	0	ID=AAHFOCED_00109;Name=mscL;gene=mscL;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00115;locus_tag=AAHFOCED_00109;product=Large-conductance mechanosensitive channel
edge_3683l	Prodigal:002006	CDS	104185	104559	.	-	0	ID=AAHFOCED_00110;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00110;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	104774	106441	.	-	0	ID=AAHFOCED_00111;eC_number=6.1.1.19;Name=argS;db_xref=COG:COG0018;gene=argS;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P11875;locus_tag=AAHFOCED_00111;product=Arginine--tRNA ligase
edge_3683l	Prodigal:002006	CDS	106472	106666	.	-	0	ID=AAHFOCED_00112;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00112;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	106749	107528	.	-	0	ID=AAHFOCED_00113;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q02170;locus_tag=AAHFOCED_00113;note=UPF0758 protein YsxA;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	107552	108199	.	-	0	ID=AAHFOCED_00114;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00114;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	108306	108533	.	+	0	ID=AAHFOCED_00115;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00115;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	108535	110112	.	-	0	ID=AAHFOCED_00116;eC_number=6.3.4.2;Name=pyrG;gene=pyrG;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P99072;locus_tag=AAHFOCED_00116;product=CTP synthase
edge_3683l	Prodigal:002006	CDS	110203	111495	.	-	0	ID=AAHFOCED_00117;eC_number=1.1.1.49;Name=zwf;db_xref=COG:COG0364;gene=zwf;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P54547;locus_tag=AAHFOCED_00117;product=Glucose-6-phosphate 1-dehydrogenase
edge_3683l	Prodigal:002006	CDS	111515	112228	.	-	0	ID=AAHFOCED_00118;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00118;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	112233	112829	.	-	0	ID=AAHFOCED_00119;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00119;product=hypothetical protein
